iterations,dimacs,runtime,solution,,,,
100,[0_k_3_n_5_m_18.dimacs],0.0178,None,,,,
100,[0_k_3_n_5_m_19.dimacs],0.0185,None,,,,
100,[0_k_3_n_5_m_20.dimacs],0.0182,None,,,,
100,[0_k_3_n_5_m_21.dimacs],0.0001,"[True,","False,","True,","False,",True]
100,[0_k_3_n_5_m_22.dimacs],0.0183,None,,,,
100,[0_k_3_n_5_m_23.dimacs],0.0173,"[False,","True,","False,","True,",False]
100,[0_k_3_n_5_m_24.dimacs],0.0174,None,,,,
100,[1_k_3_n_5_m_10.dimacs],0.0001,"[False,","False,","True,","True,",False]
100,[1_k_3_n_5_m_11.dimacs],0.0001,"[False,","False,","False,","False,",True]
100,[1_k_3_n_5_m_12.dimacs],0.0001,"[False,","False,","False,","True,",True]
100,[1_k_3_n_5_m_13.dimacs],0.0178,None,,,,
100,[1_k_3_n_5_m_14.dimacs],0.0001,"[True,","False,","False,","False,",False]
100,[1_k_3_n_5_m_15.dimacs],0.0001,"[False,","False,","True,","False,",False]
100,[1_k_3_n_5_m_16.dimacs],0.0175,None,,,,
100,[1_k_3_n_5_m_17.dimacs],0.0194,None,,,,
100,[1_k_3_n_5_m_18.dimacs],0.0174,None,,,,
100,[1_k_3_n_5_m_19.dimacs],0.017,"[False,","True,","True,","False,",True]
100,[1_k_3_n_5_m_20.dimacs],0.0173,None,,,,
100,[1_k_3_n_5_m_21.dimacs],0.018,None,,,,
100,[1_k_3_n_5_m_22.dimacs],0.0175,None,,,,
100,[1_k_3_n_5_m_23.dimacs],0.0171,None,,,,
100,[1_k_3_n_5_m_24.dimacs],0.0195,None,,,,
100,[2_k_3_n_5_m_10.dimacs],0.0189,None,,,,
100,[2_k_3_n_5_m_11.dimacs],0.0174,"[True,","False,","False,","False,",True]
100,[2_k_3_n_5_m_12.dimacs],0.0001,"[False,","True,","False,","True,",True]
100,[2_k_3_n_5_m_13.dimacs],0.0169,None,,,,
100,[2_k_3_n_5_m_14.dimacs],0.0172,None,,,,
100,[2_k_3_n_5_m_15.dimacs],0.0171,None,,,,
100,[2_k_3_n_5_m_16.dimacs],0.0001,"[True,","True,","True,","True,",False]
100,[2_k_3_n_5_m_17.dimacs],0.0186,None,,,,
100,[2_k_3_n_5_m_18.dimacs],0.0001,"[False,","False,","True,","False,",False]
100,[2_k_3_n_5_m_19.dimacs],0.018,None,,,,
100,[2_k_3_n_5_m_20.dimacs],0.0207,None,,,,
100,[2_k_3_n_5_m_21.dimacs],0.0204,None,,,,
100,[2_k_3_n_5_m_22.dimacs],0.0174,None,,,,
100,[2_k_3_n_5_m_23.dimacs],0.0194,None,,,,
100,[2_k_3_n_5_m_24.dimacs],0.0175,None,,,,
100,[3_k_3_n_5_m_10.dimacs],0.0173,"[False,","True,","False,","True,",True]
100,[3_k_3_n_5_m_11.dimacs],0.017,"[True,","True,","False,","False,",True]
100,[3_k_3_n_5_m_12.dimacs],0.0171,None,,,,
100,[3_k_3_n_5_m_13.dimacs],0.0179,None,,,,
100,[3_k_3_n_5_m_14.dimacs],0.0166,None,,,,
100,[3_k_3_n_5_m_15.dimacs],0.0001,"[False,","True,","False,","True,",True]
100,[3_k_3_n_5_m_16.dimacs],0.0001,"[True,","False,","True,","True,",False]
100,[3_k_3_n_5_m_17.dimacs],0.0001,"[True,","False,","False,","False,",True]
100,[3_k_3_n_5_m_18.dimacs],0.0001,"[True,","True,","True,","True,",False]
100,[3_k_3_n_5_m_19.dimacs],0.0173,None,,,,
100,[3_k_3_n_5_m_20.dimacs],0.017,None,,,,
100,[3_k_3_n_5_m_21.dimacs],0.0172,None,,,,
100,[3_k_3_n_5_m_22.dimacs],0.0171,None,,,,
100,[3_k_3_n_5_m_23.dimacs],0.0001,"[True,","False,","True,","False,",False]
100,[3_k_3_n_5_m_24.dimacs],0.0172,None,,,,
100,[4_k_3_n_5_m_10.dimacs],0.0001,"[True,","True,","True,","True,",False]
100,[4_k_3_n_5_m_11.dimacs],0.0001,"[False,","True,","False,","False,",False]
100,[4_k_3_n_5_m_12.dimacs],0.0172,None,,,,
100,[4_k_3_n_5_m_13.dimacs],0.0171,"[False,","True,","True,","True,",True]
100,[4_k_3_n_5_m_14.dimacs],0.0001,"[True,","False,","True,","False,",False]
100,[4_k_3_n_5_m_15.dimacs],0.0171,None,,,,
100,[4_k_3_n_5_m_16.dimacs],0.0195,None,,,,
100,[4_k_3_n_5_m_17.dimacs],0.017,None,,,,
100,[4_k_3_n_5_m_18.dimacs],0.0184,"[True,","False,","False,","True,",True]
100,[4_k_3_n_5_m_19.dimacs],0.0001,"[False,","True,","False,","True,",True]
100,[4_k_3_n_5_m_20.dimacs],0.0001,"[True,","True,","False,","True,",True]
100,[4_k_3_n_5_m_21.dimacs],0.0188,None,,,,
100,[4_k_3_n_5_m_22.dimacs],0.0177,None,,,,
